name,num_parts,num_vertices,num_edges,part_time,sys_time,comm_vol,edge_cut,avg_part_size,std_part_size,min_part_size,max_part_size,perf_time,perf_total_time,perf_std
com-youtube.ungraph.txt.metis,32,1134890,2987624,14.433703,0.022305s,1435441,3109500,35465.312,533.401,35129,36530,22.2452,22.3148,0.0500
com-youtube.ungraph.txt.metis,32,1134890,2987624,14.550780,0.004018s,1435441,3109500,35465.312,533.401,35129,36530,22.2874,22.3148,0.0500
soc-pokec-relationships.txt.metis,4,1632803,22301964,17.193400,0.087657s,2937323,15521600,408200.750,7103.761,403553,420447,27.9956,27.9109,0.0500
soc-pokec-relationships.txt.metis,4,1632803,22301964,17.096398,0.063995s,2937323,15521600,408200.750,7103.761,403553,420447,27.8226,27.9109,0.0500
soc-pokec-relationships.txt.metis,4,1632803,22301964,17.143888,0.067992s,2937323,15521600,408200.750,7103.761,403553,420447,27.9145,27.9109,0.0500
soc-LiveJournal1.txt.metis,4,4846609,42851237,35.423158,0.117772s,4956868,16951564,1211652.250,21362.338,1195680,1248002,56.106,56.657,0.284
soc-LiveJournal1.txt.metis,4,4846609,42851237,36.147734,0.168123s,4956868,16951564,1211652.250,21362.338,1195680,1248002,56.808,56.657,0.284
soc-LiveJournal1.txt.metis,4,4846609,42851237,36.315835,0.163982s,4956868,16951564,1211652.250,21362.338,1195680,1248002,57.056,56.657,0.284
soc-lastfm.metis,4,1191805,4519330,4.238989,0.010433s,1007312,3212934,297951.250,5160.795,294965,306890,7.4076,7.5106,0.0754
soc-lastfm.metis,4,1191805,4519330,4.292764,0.026363s,1007312,3212934,297951.250,5160.795,294965,306890,7.4669,7.5106,0.0754
soc-lastfm.metis,4,1191805,4519330,4.454704,0.019930s,1007312,3212934,297951.250,5160.795,294965,306890,7.6574,7.5106,0.0754
wiki-Talk.txt.metis,2,2394385,4659565,4.183636,0.026672s,1177518,2738096,1197192.500,35916.500,1161276,1233109,8.0046,7.8968,0.0540
wiki-Talk.txt.metis,2,2394385,4659565,3.986566,0.012001s,1177518,2738096,1197192.500,35916.500,1161276,1233109,7.8394,7.8968,0.0540
wiki-Talk.txt.metis,2,2394385,4659565,3.939878,0.012006s,1177518,2738096,1197192.500,35916.500,1161276,1233109,7.8463,7.8968,0.0540
as-skitter.txt.metis,4,1696415,11095298,9.194786,0.040258s,1644810,5623672,424103.750,7385.559,418683,436827,14.913,15.027,0.151
as-skitter.txt.metis,4,1696415,11095298,9.095968,0.032009s,1644810,5623672,424103.750,7385.559,418683,436827,14.842,15.027,0.151
as-skitter.txt.metis,4,1696415,11095298,9.511445,0.053243s,1644810,5623672,424103.750,7385.559,418683,436827,15.326,15.027,0.151
as-skitter.txt.metis,8,1696415,11095298,14.505039,0.020111s,2315282,8272530,212051.875,2431.905,210852,218414,21.7558,21.5921,0.0824
as-skitter.txt.metis,8,1696415,11095298,14.243756,0.040003s,2315282,8272530,212051.875,2431.905,210852,218414,21.5270,21.5921,0.0824
as-skitter.txt.metis,8,1696415,11095298,14.230751,0.032000s,2315282,8272530,212051.875,2431.905,210852,218414,21.4937,21.5921,0.0824
com-orkut.ungraph.txt.metis,2,3072441,117185083,58.132668,0.955928s,2499467,22146070,1536220.500,46087.500,1490133,1582308,95.53,92.99,1.27
com-orkut.ungraph.txt.metis,2,3072441,117185083,55.125925,0.391262s,2499467,22146070,1536220.500,46087.500,1490133,1582308,91.85,92.99,1.27
